,precision,recall,f1-score,support
0,0.8495412844036697,0.8946859903381642,0.8715294117647059,1035.0
1,0.658307210031348,0.5614973262032086,0.6060606060606061,374.0
accuracy,0.8062455642299503,0.8062455642299503,0.8062455642299503,0.8062455642299503
macro avg,0.7539242472175088,0.7280916582706864,0.738795008912656,1409.0
weighted avg,0.7987807848896538,0.8062455642299503,0.8010643064890968,1409.0
