Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8062455642299503,0.658307210031348,0.5614973262032086,0.6060606060606061
Random Forest,0.7679205110007097,0.5542725173210161,0.6417112299465241,0.5947955390334573
